adding.1	F ("c==17")
bopdp.1	G ((IOP.stand_by ) -> ((IOP.now_wait || IOP.back_to_active) R ( (!(IOP.active )) || (IOP.now_wait || IOP.back_to_active))))
bopdp.2	G ( (("sleeping==0") & ("sleep_op==0")) -> ((!("sleep_op==0")) R (("sleeping==0") | (! ("sleep_op==0")))) )
bopdp.2	G ((IOP.active ) -> ((IOP.stand_by ) R ((!(IOP.noise )) | (IOP.stand_by ))))
bopdp.2	G ( (("sleeping==0") & ("lsl_interrupt==1" | "ap_interrupt==1" )) -> ((! ("lsl_interrupt==1" | "ap_interrupt==1" )) R (("sleeping==0" ) | (! ("lsl_interrupt==1" | "ap_interrupt==1" )))) )
bopdp.2	G ((IOP.stand_by ) -> ((IOP.now_wait || IOP.back_to_active) R ( (!(IOP.active )) || (IOP.now_wait || IOP.back_to_active))))
bopdp.3	G ( (("sleeping==0") & ("sleep_op==0")) -> ((!("sleep_op==0")) R (("sleeping==0") | (! ("sleep_op==0")))) )
bopdp.3	G ((IOP.active ) -> ((IOP.stand_by ) R ((!(IOP.noise )) | (IOP.stand_by ))))
bopdp.3	G ( (("sleeping==0") & ("lsl_interrupt==1" | "ap_interrupt==1" )) -> ((! ("lsl_interrupt==1" | "ap_interrupt==1" )) R (("sleeping==0" ) | (! ("lsl_interrupt==1" | "ap_interrupt==1" )))) )
bopdp.3	G ((IOP.stand_by ) -> ((IOP.now_wait || IOP.back_to_active) R ( (!(IOP.active )) || (IOP.now_wait || IOP.back_to_active))))
bridge.1	F ("on_right==4")
bridge.2	F ("on_right==6")
bridge.3	F ("on_right==8")
brp.1	F (Consumer.st_error )
brp.1	G ((Producer.wait_result ) -> F (Producer.check ))
brp.1	G ((Producer.wait_result ) -> F (Producer.ready ))
brp.2	F (Consumer.st_error )
brp.2	G ((Producer.wait_result ) -> F (Producer.check ))
brp.2	G ((Producer.wait_result ) -> F (Producer.ready ))
brp.3	F (Consumer.st_error )
brp.3	G ((Producer.wait_result ) -> F (Producer.check ))
brp.3	G ((Producer.wait_result ) -> F (Producer.ready ))
brp.4	F (Consumer.st_error )
brp.4	G ((Producer.wait_result ) -> F (Producer.check ))
brp.4	G ((Producer.wait_result ) -> F (Producer.ready ))
brp.5	F (Consumer.st_error )
brp.5	G ((Producer.wait_result ) -> F (Producer.check ))
brp.5	G ((Producer.wait_result ) -> F (Producer.ready ))
brp.6	F (Consumer.st_error )
brp.6	G ((Producer.wait_result ) -> F (Producer.check ))
brp.6	G ((Producer.wait_result ) -> F (Producer.ready ))
brp2.1	F(Sender.error & "X == 31" & (! Receiver.new_file))
brp2.1	F("File == 0" & ((SClient.ok & RClient.nok) | (RClient.ok & SClient.nok)))
brp2.2	F(Sender.error & "X == 22" & (! Receiver.new_file))
brp2.2	F("File == 0" & ((SClient.ok & RClient.nok) | (RClient.ok & SClient.nok)))
brp2.3	F(Sender.error & "X == 30" & (! Receiver.new_file))
brp2.3	F("File == 0" & ((SClient.ok & RClient.nok) | (RClient.ok & SClient.nok)))
brp2.4	F(Sender.error & "X == 76" & (! Receiver.new_file))
brp2.4	F("File == 0" & ((SClient.ok & RClient.nok) | (RClient.ok & SClient.nok)))
brp2.5	F(Sender.error & "X == 63" & (! Receiver.new_file))
brp2.5	F("File == 0" & ((SClient.ok & RClient.nok) | (RClient.ok & SClient.nok)))
brp2.6	F(Sender.error & "X == 156" & (! Receiver.new_file))
brp2.6	F("File == 0" & ((SClient.ok & RClient.nok) | (RClient.ok & SClient.nok)))
cambridge.1	F(Sender.q_error )
cambridge.1	F(Receiver.q_error )
cambridge.2	F(Sender.q_error )
cambridge.2	F(Receiver.q_error )
cambridge.3	F(Sender.q_error )
cambridge.3	F(Receiver.q_error )
cambridge.4	F(Sender.q_error )
cambridge.4	F(Receiver.q_error )
cambridge.5	F(Sender.q_error )
cambridge.5	F(Receiver.q_error )
cambridge.6	F(Sender.q_error )
cambridge.6	F(Receiver.q_error )
cambridge.7	F(Sender.q_error )
cambridge.7	F(Receiver.q_error )
collision.1	F(Medium.collision)
collision.2	F(Medium.collision)
collision.3	F(Medium.collision)
collision.4	F(Medium.collision)
collision.5	F(Medium.collision)
collision.6	F(Medium.collision)
cyclic_scheduler.1	F(customer_0.q_error)
cyclic_scheduler.2	F(customer_0.q_error)
cyclic_scheduler.3	F(customer_0.q_error)
cyclic_scheduler.4	F(customer_0.q_error)
driving_phils.1	G (("acquiring[0] != -1") -> F ("acquiring[0] == -1"))
driving_phils.1	GF ("acquiring[0] != -1" )
driving_phils.2	G (("acquiring[0] != -1") -> F ("acquiring[0] == -1"))
driving_phils.2	GF ("acquiring[0] != -1" )
driving_phils.3	G (("acquiring[0] != -1") -> F ("acquiring[0] == -1"))
driving_phils.3	GF ("acquiring[0] != -1" )
driving_phils.4	G (("acquiring[0] != -1") -> F ("acquiring[0] == -1"))
driving_phils.4	GF ("acquiring[0] != -1" )
driving_phils.5	G (("acquiring[0] != -1") -> F ("acquiring[0] == -1"))
driving_phils.5	GF ("acquiring[0] != -1" )
***driving_phils.1	F ("res0[0] == res0[1]" ) | ("res0[0] == res1[1]" )
***driving_phils.2	F ("res0[0] == res0[1]" ) | ("res0[0] == res1[1]" )
***driving_phils.3	F ("res0[0] == res0[1]" ) | ("res0[0] == res1[1]" )
***driving_phils.4	F ("res0[0] == res0[1]" ) | ("res0[0] == res1[1]" )
***driving_phils.5	F ("res0[0] == res0[1]" ) | ("res0[0] == res1[1]" )
elevator.1	F((Person_0.in_elevator ) & (Person_1.in_elevator ))
elevator.1	G((Person_0.waiting ) -> (F(Person_0.in_elevator )))
elevator.1	G((Person_0.in_elevator ) ->(F (Person_0.out )))
elevator.2	F((Person_0.in_elevator ) & (Person_1.in_elevator ))
elevator.2	G((Person_0.waiting ) -> (F(Person_0.in_elevator )))
elevator.2	G((Person_0.in_elevator ) ->(F (Person_0.out )))
elevator.3	F((Person_0.in_elevator ) & (Person_1.in_elevator ))
elevator.3	G((Person_0.waiting ) -> (F(Person_0.in_elevator )))
elevator.3	G((Person_0.in_elevator ) ->(F (Person_0.out )))
elevator.4	F((Person_0.in_elevator ) & (Person_1.in_elevator ))
elevator.4	G((Person_0.waiting ) -> (F(Person_0.in_elevator )))
elevator.4	G((Person_0.in_elevator ) ->(F (Person_0.out )))
elevator.5	F((Person_0.in_elevator ) & (Person_1.in_elevator ))
elevator.5	G((Person_0.waiting ) -> (F(Person_0.in_elevator )))
elevator.5	G((Person_0.in_elevator ) ->(F (Person_0.out )))
elevator2.1	G(("req[0] == 1" )->(F(("p == 1" ) & (cabin.open ))))
elevator2.1	G(("req[0] == 1" )->(!("p == 1" )U((" p == 1 ")U(("p == 1" )& (cabin.open )))))
elevator2.1	G(("req[0] == 1" )->(!("p == 1" )U(("p==1")U(!("p == 1" )U(("p == 1" )U(("p == 1")&(cabin.open )))))))
elevator2.1	G(("req[0] == 1" )->(!("p == 0" )U(("p == 0")U(!("p == 0" )U(("p == 0" )U(("p == 0")&(cabin.open )))))))
elevator2.1	F(G ("p == 1" ))
elevator2.2	G(("req[0] == 1" )->(F(("p == 1" ) & (cabin.open ))))
elevator2.2	G(("req[0] == 1" )->(!("p == 1" )U((" p == 1 ")U(("p == 1" )& (cabin.open )))))
elevator2.2	G(("req[0] == 1" )->(!("p == 1" )U(("p==1")U(!("p == 1" )U(("p == 1" )U(("p == 1")&(cabin.open )))))))
elevator2.2	G(("req[0] == 1" )->(!("p == 0" )U(("p == 0")U(!("p == 0" )U(("p == 0" )U(("p == 0")&(cabin.open )))))))
elevator2.2	F(G ("p == 1" ))
elevator2.3	G(("req[0] == 1" )->(F(("p == 1" ) & (cabin.open ))))
elevator2.3	G(("req[0] == 1" )->(!("p == 1" )U((" p == 1 ")U(("p == 1" )& (cabin.open )))))
elevator2.3	G(("req[0] == 1" )->(!("p == 1" )U(("p==1")U(!("p == 1" )U(("p == 1" )U(("p == 1")&(cabin.open )))))))
elevator2.3	G(("req[0] == 1" )->(!("p == 0" )U(("p == 0")U(!("p == 0" )U(("p == 0" )U(("p == 0")&(cabin.open )))))))
elevator2.3	F(G ("p == 1" ))
elevator_planning.1	F(Elevator.done )
elevator_planning.2	F(Elevator.done )
elevator_planning.3	F(Elevator.done )
exit.1	F("at_modul == 1")
exit.2	F("at_modul == 2")
exit.3	F("at_modul == 2")
exit.4	F("at_modul == 2")
exit.5	F("at_modul == 3")
extinction.1	F("leaders_num > 1")
extinction.1	F("leaders_num > 0")
extinction.2	F("leaders_num > 1")
extinction.2	F("leaders_num > 0")
extinction.3	F("leaders_num > 1")
extinction.3	F("leaders_num > 0")
extinction.4	F("leaders_num > 1")
extinction.4	F("leaders_num > 0")
firewire_tree.1	F("elected_num == 2")
firewire_tree.1	F("elected == 0" )
firewire_tree.1	F("elected == 1" )
firewire_tree.2	F("elected_num == 2")
firewire_tree.2	F("elected == 0" )
firewire_tree.2	F("elected == 1" )
firewire_tree.3	F("elected_num == 2")
firewire_tree.3	F("elected == 0" )
firewire_tree.3	F("elected == 1" )
firewire_tree.4	F("elected_num == 2")
firewire_tree.4	F("elected == 0" )
firewire_tree.4	F("elected == 1" )
firewire_tree.5	F("elected_num == 2")
firewire_tree.5	F("elected == 0" )
firewire_tree.5	F("elected == 1" )
fischer.1	G ((P_0.try ) -> F ((P_0.CS )) )
fischer.1	G((!(P_0.CS )) -> F (P_0.CS ))
fischer.1	GF (P_0.CS|P_1.CS|P_2.CS)
fischer.2	G ((P_0.try ) -> F ((P_0.CS )) )
fischer.2	G((!(P_0.CS )) -> F (P_0.CS ))
fischer.2	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS)
fischer.3	G ((P_0.try ) -> F ((P_0.CS )) )
fischer.3	G((!(P_0.CS )) -> F (P_0.CS ))
fischer.3	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS|P_5.CS)
fischer.4	G ((P_0.try ) -> F ((P_0.CS )) )
fischer.4	G((!(P_0.CS )) -> F (P_0.CS ))
fischer.4	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS|P_5.CS|P_6.CS)
fischer.5	G ((P_0.try ) -> F ((P_0.CS )) )
fischer.5	G((!(P_0.CS )) -> F (P_0.CS ))
fischer.5	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS|P_5.CS|P_6.CS)
fischer.6	G ((P_0.try ) -> F ((P_0.CS )) )
fischer.6	G((!(P_0.CS )) -> F (P_0.CS ))
fischer.6	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS|P_5.CS|P_6.CS|P_7.CS)
fischer.7	G ((P_0.try ) -> F ((P_0.CS )) )
fischer.7	G((!(P_0.CS )) -> F (P_0.CS ))
fischer.7	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS|P_5.CS|P_6.CS|P_7.CS)
frogs.1	F(Check.done )
frogs.2	F(Check.done )
frogs.3	F(Check.done )
frogs.4	F(Check.done )
frogs.5	F(Check.done )
gear.1	F("currentGear == 5" )
gear.1	F(Clutch.error_open )
gear.1	F(Clutch.error_close )
gear.1	F(Engine.error_speed )
gear.2	F("currentGear == 30" )
gear.2	F(Clutch.error_open )
gear.2	F(Clutch.error_close )
gear.2	F(Engine.error_speed )
hanoi.1	F("c_act == 8" )
hanoi.2	F("c_act == 12" )
hanoi.3	F("c_act == 15" )
hanoi.4	F("c_act == 17" )
iprotocol.1	F (Consumer.consume )
iprotocol.1	G F (Consumer.consume )
iprotocol.1	((G F (Medium.dataOk )) & (G F (Medium.nakOk ))) -> (G F(Consumer.consume ))
iprotocol.2	F (Consumer.consume )
iprotocol.2	G F (Consumer.consume )
iprotocol.2	((G F (Medium.dataOk )) & (G F (Medium.nakOk ))) -> (G F(Consumer.consume ))
iprotocol.3	F (Consumer.consume )
iprotocol.3	G F (Consumer.consume )
iprotocol.3	((G F (Medium.dataOk )) & (G F (Medium.nakOk ))) -> (G F(Consumer.consume ))
iprotocol.4	F (Consumer.consume )
iprotocol.4	G F (Consumer.consume )
iprotocol.4	((G F (Medium.dataOk )) & (G F (Medium.nakOk ))) -> (G F(Consumer.consume ))
iprotocol.5	F (Consumer.consume )
iprotocol.5	G F (Consumer.consume )
iprotocol.5	((G F (Medium.dataOk )) & (G F (Medium.nakOk ))) -> (G F(Consumer.consume ))
iprotocol.6	F (Consumer.consume )
iprotocol.6	G F (Consumer.consume )
iprotocol.6	((G F (Medium.dataOk )) & (G F (Medium.nakOk ))) -> (G F(Consumer.consume ))
iprotocol.7	F (Consumer.consume )
iprotocol.7	G F (Consumer.consume )
iprotocol.7	((G F (Medium.dataOk )) & (G F (Medium.nakOk ))) -> (G F(Consumer.consume ))
krebs.1	F("energy > 5" )
krebs.2	F("energy > 20" )
krebs.3	F("energy > 50" )
krebs.4	F("energy > 80" )
lamport.1	G ((P_0.q1 ) -> F ((P_0.CS )) )
lamport.1	G((!(P_0.CS )) -> F (P_0.CS ))
lamport.1	GF (P_0.CS|P_1.CS|P_2.CS)
lamport.2	G ((P_0.q1 ) -> F ((P_0.CS )) )
lamport.2	G((!(P_0.CS )) -> F (P_0.CS ))
lamport.2	GF (P_0.CS|P_1.CS|P_2.CS)
lamport.3	G ((P_0.q1 ) -> F ((P_0.CS )) )
lamport.3	G((!(P_0.CS )) -> F (P_0.CS ))
lamport.3	GF (P_0.CS|P_1.CS|P_2.CS)
lamport.5	G ((P_0.q1 ) -> F ((P_0.CS )) )
lamport.5	G((!(P_0.CS )) -> F (P_0.CS ))
lamport.5	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS)
lamport.6	G ((P_0.q1 ) -> F ((P_0.CS )) )
lamport.6	G((!(P_0.CS )) -> F (P_0.CS ))
lamport.6	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS)
lamport.7	G ((P_0.q1 ) -> F ((P_0.CS )) )
lamport.7	G((!(P_0.CS )) -> F (P_0.CS ))
lamport.7	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS)
lamport.8	G ((P_0.q1 ) -> F ((P_0.CS )) )
lamport.8	G((!(P_0.CS )) -> F (P_0.CS ))
lamport.8	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS)
lamport_nonatomic.1	G ((P_0.w1 ) -> F ((P_0.CS )) )
lamport_nonatomic.1	G((!(P_0.CS )) -> F (P_0.CS ))
lamport_nonatomic.1	GF (P_0.CS|P_1.CS|P_2.CS)
lamport_nonatomic.2	G ((P_0.w1 ) -> F ((P_0.CS )) )
lamport_nonatomic.2	G((!(P_0.CS )) -> F (P_0.CS ))
lamport_nonatomic.2	GF (P_0.CS|P_1.CS|P_2.CS)
lamport_nonatomic.3	G ((P_0.w1 ) -> F ((P_0.CS )) )
lamport_nonatomic.3	G((!(P_0.CS )) -> F (P_0.CS ))
lamport_nonatomic.3	GF (P_0.CS|P_1.CS|P_2.CS)
lamport_nonatomic.4	G ((P_0.w1 ) -> F ((P_0.CS )) )
lamport_nonatomic.4	G((!(P_0.CS )) -> F (P_0.CS ))
lamport_nonatomic.4	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS)
lamport_nonatomic.5	G ((P_0.w1 ) -> F ((P_0.CS )) )
lamport_nonatomic.5	G((!(P_0.CS )) -> F (P_0.CS ))
lamport_nonatomic.5	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS)
lann.1	GF (P_0.CS|P_1.CS|P_2.CS)
lann.1	GF (P_0.CS )
lann.2	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS)
lann.2	GF (P_0.CS )
lann.3	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS)
lann.3	GF (P_0.CS )
lann.4	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS)
lann.4	GF (P_0.CS )
lann.5	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS|P_5.CS)
lann.5	GF (P_0.CS )
lann.6	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS)
lann.6	GF (P_0.CS )
lann.7	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS)
lann.7	GF (P_0.CS )
lann.8	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS)
lann.8	GF (P_0.CS )
leader_election.1	F ("nr_leaders > 1" )
leader_election.1	F ("nr_leaders > 0" )
leader_election.2	F ("nr_leaders > 1" )
leader_election.2	F ("nr_leaders > 0" )
leader_election.3	F ("nr_leaders > 1" )
leader_election.3	F ("nr_leaders > 0" )
leader_election.4	F ("nr_leaders > 1" )
leader_election.4	F ("nr_leaders > 0" )
leader_election.5	F ("nr_leaders > 1" )
leader_election.5	F ("nr_leaders > 0" )
leader_election.6	F ("nr_leaders > 1" )
leader_election.6	F ("nr_leaders > 0" )
leader_filters.1	F(P_0.elected|P_1.elected|P_2.elected)
leader_filters.2	F(P_0.elected|P_1.elected|P_2.elected)
leader_filters.3	F(P_0.elected|P_1.elected|P_2.elected|P_3.elected)
leader_filters.4	F(P_0.elected|P_1.elected|P_2.elected|P_3.elected)
leader_filters.5	F(P_0.elected|P_1.elected|P_2.elected|P_3.elected|P_4.elected)
leader_filters.6	F(P_0.elected|P_1.elected|P_2.elected|P_3.elected|P_4.elected)
leader_filters.7	F(P_0.elected|P_1.elected|P_2.elected|P_3.elected|P_4.elected|P_5.elected)
lifts.1	F(Wheels.error_state )
lifts.1	(GF (Environment.pressed_up_0 )) -> (GF (Wheels.moving_up ))
lifts.1	G ((Environment.pressed_up_0 ) -> F (Wheels.moving_up ))
lifts.1	((! (Wheels.moving_up )) U (Environment.pressed_up_0 )) || G (!(Wheels.moving_up ))
lifts.2	F(Wheels.error_state )
lifts.2	(GF (Environment.pressed_up_0 )) -> (GF (Wheels.moving_up ))
lifts.2	G ((Environment.pressed_up_0 ) -> F (Wheels.moving_up ))
lifts.2	((! (Wheels.moving_up )) U (Environment.pressed_up_0 )) || G (!(Wheels.moving_up ))
lifts.3	F(Wheels.error_state )
lifts.3	(GF (Environment.pressed_up_0 )) -> (GF (Wheels.moving_up ))
lifts.3	G ((Environment.pressed_up_0 ) -> F (Wheels.moving_up ))
lifts.3	((! (Wheels.moving_up )) U (Environment.pressed_up_0 )) || G (!(Wheels.moving_up ))
lifts.4	F(Wheels.error_state )
lifts.4	(GF (Environment.pressed_up_0 )) -> (GF (Wheels.moving_up ))
lifts.4	G ((Environment.pressed_up_0 ) -> F (Wheels.moving_up ))
lifts.4	((! (Wheels.moving_up )) U (Environment.pressed_up_0 )) || G (!(Wheels.moving_up ))
lifts.5	F(Wheels.error_state )
lifts.5	(GF (Environment.pressed_up_0 )) -> (GF (Wheels.moving_up ))
lifts.5	G ((Environment.pressed_up_0 ) -> F (Wheels.moving_up ))
lifts.5	((! (Wheels.moving_up )) U (Environment.pressed_up_0 )) || G (!(Wheels.moving_up ))
lifts.6	F(Wheels.error_state )
lifts.6	(GF (Environment.pressed_up_0 )) -> (GF (Wheels.moving_up ))
lifts.6	G ((Environment.pressed_up_0 ) -> F (Wheels.moving_up ))
lifts.6	((! (Wheels.moving_up )) U (Environment.pressed_up_0 )) || G (!(Wheels.moving_up ))
lifts.7	F(Wheels.error_state )
lifts.7	(GF (Environment.pressed_up_0 )) -> (GF (Wheels.moving_up ))
lifts.7	G ((Environment.pressed_up_0 ) -> F (Wheels.moving_up ))
lifts.7	((! (Wheels.moving_up )) U (Environment.pressed_up_0 )) || G (!(Wheels.moving_up ))
lifts.8	F(Wheels.error_state )
lifts.8	(GF (Environment.pressed_up_0 )) -> (GF (Wheels.moving_up ))
lifts.8	G ((Environment.pressed_up_0 ) -> F (Wheels.moving_up ))
lifts.8	((! (Wheels.moving_up )) U (Environment.pressed_up_0 )) || G (!(Wheels.moving_up ))
loyd.1	F(Check.done )
loyd.2	F(Check.done )
loyd.3	F(Check.done )
lup.1	F(lup0.load_data ) & (lup1.load_data )
lup.1	G ((lup0.wait ) -> F (lup0.load_data ))
lup.2	F(lup0.load_data ) & (lup1.load_data )
lup.2	G ((lup0.wait ) -> F (lup0.load_data ))
lup.3	F(lup0.load_data ) & (lup1.load_data )
lup.3	G ((lup0.wait ) -> F (lup0.load_data ))
lup.4	F(lup0.load_data ) & (lup1.load_data )
lup.4	G ((lup0.wait ) -> F (lup0.load_data ))
mcs.1	G ((P_0.p2|P_0.p3|P_0.p4|P_0.p5|P_0.p6 ) -> F ((P_0.CS )) )
mcs.1	G((!(P_0.CS )) -> F (P_0.CS ))
mcs.1	GF (P_0.CS|P_1.CS|P_2.CS)
mcs.2	G ((P_0.p2|P_0.p3|P_0.p4|P_0.p5|P_0.p6 ) -> F ((P_0.CS )) )
mcs.2	G((!(P_0.CS )) -> F (P_0.CS ))
mcs.2	GF (P_0.CS|P_1.CS|P_2.CS)
mcs.3	G ((P_0.p2|P_0.p3|P_0.p4|P_0.p5|P_0.p6 ) -> F ((P_0.CS )) )
mcs.3	G((!(P_0.CS )) -> F (P_0.CS ))
mcs.3	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS)
mcs.4	G ((P_0.p2|P_0.p3|P_0.p4|P_0.p5|P_0.p6 ) -> F ((P_0.CS )) )
mcs.4	G((!(P_0.CS )) -> F (P_0.CS ))
mcs.4	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS)
mcs.5	G ((P_0.p2|P_0.p3|P_0.p4|P_0.p5|P_0.p6 ) -> F ((P_0.CS )) )
mcs.5	G((!(P_0.CS )) -> F (P_0.CS ))
mcs.5	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS)
mcs.6	G ((P_0.p2|P_0.p3|P_0.p4|P_0.p5|P_0.p6 ) -> F ((P_0.CS )) )
mcs.6	G((!(P_0.CS )) -> F (P_0.CS ))
mcs.6	GF (P_0.CS|P_1.CS|P_2.CS|P_3.CS|P_4.CS)
msmie.1	F(slave_1.error_state )
msmie.2	F(slave_1.error_state )
msmie.3	F(slave_1.error_state )
msmie.4	F(slave_1.error_state )
needham.1	F((initiator_0.finished ) & (responder_0.finished ))
needham.1	F("intruder.kNa == 1" )
needham.1	F(responder_0.finished ) & ("responder_0.party == 7" )
